date,new_cases,new_deaths,hosp_patients,positive_rate
2022-02-27,469867.0,1449.0,29230.714285714286,0.4228571428571429
2022-03-06,438913.0,1665.0,27989.428571428572,0.39285714285714285
2022-03-13,378863.0,1219.0,25134.14285714286,0.37142857142857144
2022-03-20,331694.0,891.0,21031.0,0.35857142857142854
2022-03-27,273629.0,722.0,17242.714285714286,0.3514285714285714
2022-04-03,324367.0,519.0,13624.42857142857,0.3657142857142857
2022-04-10,337477.0,398.0,12106.714285714286,0.37
2022-04-17,334688.0,339.0,12229.142857142857,0.3871428571428571
2022-04-24,285761.0,285.0,11749.714285714286,0.3028571428571429
2022-05-01,241921.0,293.0,10983.714285714286,0.15285714285714286
2022-05-08,197600.0,212.0,9695.42857142857,0.2857142857142857
2022-05-15,273523.0,248.0,9079.0,0.29714285714285715
2022-05-22,245627.0,246.0,9184.285714285714,0.2857142857142857
2022-05-29,192931.0,251.0,9144.57142857143,0.25285714285714284
2022-06-05,134170.0,215.0,8464.285714285714,0.18571428571428572
2022-06-12,105948.0,137.0,6992.142857142857,0.14857142857142858
2022-06-19,98001.0,135.0,5599.285714285715,0.07
2022-06-26,103653.0,94.0,4969.142857142857,0.15
2022-07-03,122586.0,193.0,4980.571428571428,0.15
2022-07-10,269760.0,113.0,6435.857142857143,0.15
2022-07-17,559111.0,165.0,10341.857142857143,0.15
2022-07-24,969068.0,330.0,16201.142857142857,0.15
2022-07-31,1379099.0,754.0,22902.85714285714,0.15
2022-08-07,1496968.0,1131.0,28932.85714285714,0.15
2022-08-14,1395301.0,1546.0,34866.28571428572,0.15
2022-08-21,1476374.0,1906.0,37363.0,0.15
2022-08-28,1258772.0,1976.0,38525.142857142855,0.15
2022-09-04,1164787.0,2040.0,37374.57142857143,0.15
2022-09-11,537181.0,1501.0,32790.142857142855,0.15
2022-09-18,605919.0,1033.0,26346.428571428572,0.15
2022-09-25,535502.0,636.0,20792.714285714286,0.15
2022-10-02,306958.0,555.0,15447.714285714286,0.15
2022-10-09,208547.0,493.0,11522.285714285714,0.15
